id,name,timestamp,free_bikes,empty_slots,uid,last_updated,slots,normal_bikes,ebikes
023efce1bbb332a1b918d56aeb671890,Avenida de Arteixo,2024-12-13T15:28:29.998937,0,15,53,1734103517,15,0,0
02cecd02915c86d7ab8034b61b19da0e,Mercado de Monte Alto,2024-12-13T15:28:29.998937,1,14,43,1734103565,15,1,0
030c4027b0bea390e562645c7082db4c,Los Rosales,2024-12-13T15:28:29.998937,0,25,11,1734103423,25,0,0
0e3aa0134a2f3d07ae5bd093e6af9a33,Plaza de Portugal,2024-12-13T15:28:29.998937,2,16,55,1734103546,20,2,1
104e0797759d11ac22a61cfed357800b,Ventorrillo,2024-12-13T15:28:29.998937,2,16,27,1734103498,18,1,1
10af3b0e504fc241415d4047a58bfb5b,Cd Castrillón,2024-12-13T15:28:29.998937,6,9,23,1734103506,15,2,4
15b6693701eb534cddabc0bdd4c3b8a2, Pablo Picasso,2024-12-13T15:28:29.998937,7,12,25,1734103584,19,7,0
16d30b6bb080c9ceac0ab0ca3b20111a,Barrio de las Flores,2024-12-13T15:28:29.998937,9,14,31,1734103507,23,8,1
18b3d4c21c5cec9d8e25fa0a6cab109a,Torre de Hércules,2024-12-13T15:28:29.998937,12,2,5,1734103599,15,8,4
18e32269ce7f371acf5ca7f016b07a2a,Campo de Marte,2024-12-13T15:28:29.998937,0,15,17,1734103461,15,0,0
198820c7b5fc5681e896110c4383a4a0,Hospital Abente y Lago,2024-12-13T15:28:29.998937,1,14,42,1734103603,15,1,0
1a77b47ff9c828307610737e1a9046c3,Plaza de Tabacos,2024-12-13T15:28:29.998937,5,14,14,1734103564,19,5,0
1df27d4197c65e404466107444967600,Casa del Agua,2024-12-13T15:28:29.998937,12,3,57,1734103508,16,9,4
2139f0834a27ab807a5edb3420c2841e,Plaza De Pontevedra,2024-12-13T15:28:29.998937,4,22,3,1734103558,29,4,1
280380564f13b15dbc782a43d2426689,Estación Autobuses,2024-12-13T15:28:29.998937,8,7,8,1734103510,15,8,0
2ad08bdfd5fda295855b0297d410716f,Orillamar,2024-12-13T15:28:29.998937,0,15,40,1734103493,15,0,0
2cdf0b7a087c888dee45f8c619ea5bb2,Aquarium,2024-12-13T15:28:29.998937,6,9,4,1734103532,15,5,1
2d16841278003915e01f897638776f63,Parque de Oza,2024-12-13T15:28:29.998937,5,10,49,1734103542,15,5,0
305b3112f5f1083876b2ce9146742596,Aparcamiento Matogrande,2024-12-13T15:28:29.998937,8,7,15,1734103508,15,6,2
447505d0e57db2f71d7572ceedcbb046,Agrela,2024-12-13T15:28:29.998937,11,11,28,1734103448,23,8,3
4c0262f67097091b43ca54b09a072bce,Paseo de Los Puentes,2024-12-13T15:28:29.998937,2,15,20,1734103485,19,1,1
5053bbeb34b876b59c45121ab341af93,Ágora,2024-12-13T15:28:29.998937,10,13,44,1734103471,23,8,2
5330f247a28be53b762427542867dd73,Campo de La Leña (Plaza De España),2024-12-13T15:28:29.998937,0,14,18,1734103479,15,0,0
7446dcc290f2570a47d4ed2bc9282ceb,Cuatro Caminos,2024-12-13T15:28:29.998937,7,15,50,1734103525,23,7,0
75e54fb28a5679603047bbd282047916,Puerto - Palexco,2024-12-13T15:28:29.998937,8,7,6,1734103544,15,7,1
88a676510bd52100c911fb1a9b5f87b4,Expocoruna,2024-12-13T15:28:29.998937,8,11,33,1734103456,19,1,7
8c078d095787b97917c07ab40bf3594e,Plaza Recife,2024-12-13T15:28:29.998937,11,3,47,1734103526,15,11,0
8dfd4b95e7f499296e03312c5b1f9e22,Plaza de San Rosendo,2024-12-13T15:28:29.998937,1,14,19,1734103478,15,1,0
938a003c099dc9b2c7411f2000b88022,Puerta Real,2024-12-13T15:28:29.998937,6,17,22,1734103422,23,6,0
95a1abdf86ec8d29deb7380938c2e02e,Plaza de Conchiñas,2024-12-13T15:28:29.998937,1,14,12,1734103494,15,0,1
9ba72d8f143fb690546e6950b2d53c97,Estación Tren,2024-12-13T15:28:29.998937,2,13,9,1734103564,15,2,0
9e7f93baecab42d934a507a9ef7e5938,Adormideras,2024-12-13T15:28:29.998937,6,13,26,1734103490,19,6,0
9e84dc079b6d308cb74dedeb0f98f345,Marineda,2024-12-13T15:28:29.998937,15,8,29,1734103445,23,10,5
a2893fa94f1de9a32b0b210b994f3e10,Parque de Santa Margarita,2024-12-13T15:28:29.998937,0,12,54,1734103514,13,0,0
a876e4f21fbf7e9873b395485d080c1f,Ciudad Escolar,2024-12-13T15:28:29.998937,17,2,36,1734103446,19,17,0
b376679bc7b9464f8f0edc775d71d5ad,Parque de Eirís,2024-12-13T15:28:29.998937,7,12,32,1734103478,19,7,0
b55aa9b4a84ef790d95fe5c43e4bd1ad,Novo Mesoiro,2024-12-13T15:28:29.998937,1,22,30,1734103599,23,0,1
bf735b3d92053c97f825a333f6686aac,Chuac,2024-12-13T15:28:29.998937,4,15,51,1734103501,19,4,0
c158d9e1e35d2323bb2bbf49da32c47b,Casa de Sol,2024-12-13T15:28:29.998937,6,10,16,1734103456,16,4,2
cc7469fb9362066706da43aafbe02e1f,Centro deportivo Elviña,2024-12-13T15:28:29.998937,2,17,52,1734103512,19,0,2
d03cf3099b20bc41dddaf4ee8b282dfa,Maestranza,2024-12-13T15:28:29.998937,6,13,35,1734103571,19,5,1
d9b01b13fb85506d591617ab5e8cf4bc,Mirador de los Castros,2024-12-13T15:28:29.998937,7,12,10,1734103442,19,7,0
daa753bf3bdb6d5b722734d126b843b1,Plaza de Vigo,2024-12-13T15:28:29.998937,11,5,13,1734103493,19,11,0
e97735d79704dc080f7ee1a2af1e402f,Obelisco,2024-12-13T15:28:29.998937,7,12,7,1734103453,23,5,3
f04ee4ffca2a6f3daacba88a9eee8487,Millenium,2024-12-13T15:28:29.998937,6,8,56,1734103436,15,6,0
f702a7b2b1631ace3781c405acb99b70,Praza de Ourense,2024-12-13T15:28:29.998937,1,14,41,1734103570,15,1,0
f86954a7b51703f735bce5b549cb4e16,Parque del Agra,2024-12-13T15:28:29.998937,1,14,45,1734103484,15,0,1
fb0d3f40ea7570546b171b43ccd57a2a,Rosales-Labañou,2024-12-13T15:28:29.998937,1,13,46,1734103512,15,1,0
fee1ae73b32ffb83e1bf3f6e83e616b7,Centro Cívico Monelos,2024-12-13T15:28:29.998937,2,13,21,1734103475,15,1,1
023efce1bbb332a1b918d56aeb671890,Avenida de Arteixo,2024-12-13T15:31:32.343162,1,14,53,1734103699,15,0,1
02cecd02915c86d7ab8034b61b19da0e,Mercado de Monte Alto,2024-12-13T15:31:32.343162,1,14,43,1734103748,15,1,0
030c4027b0bea390e562645c7082db4c,Los Rosales,2024-12-13T15:31:32.343162,1,24,11,1734103608,25,0,1
0e3aa0134a2f3d07ae5bd093e6af9a33,Plaza de Portugal,2024-12-13T15:31:32.343162,3,16,55,1734103730,20,1,2
104e0797759d11ac22a61cfed357800b,Ventorrillo,2024-12-13T15:31:32.343162,2,16,27,1734103679,18,1,1
10af3b0e504fc241415d4047a58bfb5b,Cd Castrillón,2024-12-13T15:31:32.343162,6,9,23,1734103690,15,2,4
15b6693701eb534cddabc0bdd4c3b8a2, Pablo Picasso,2024-12-13T15:31:32.343162,7,12,25,1734103768,19,7,0
16d30b6bb080c9ceac0ab0ca3b20111a,Barrio de las Flores,2024-12-13T15:31:32.343162,8,15,31,1734103689,23,8,0
18b3d4c21c5cec9d8e25fa0a6cab109a,Torre de Hércules,2024-12-13T15:31:32.343162,12,2,5,1734103782,15,8,4
18e32269ce7f371acf5ca7f016b07a2a,Campo de Marte,2024-12-13T15:31:32.343162,0,15,17,1734103644,15,0,0
198820c7b5fc5681e896110c4383a4a0,Hospital Abente y Lago,2024-12-13T15:31:32.343162,1,14,42,1734103603,15,1,0
1a77b47ff9c828307610737e1a9046c3,Plaza de Tabacos,2024-12-13T15:31:32.343162,7,12,14,1734103746,19,6,1
1df27d4197c65e404466107444967600,Casa del Agua,2024-12-13T15:31:32.343162,11,4,57,1734103691,16,9,3
2139f0834a27ab807a5edb3420c2841e,Plaza De Pontevedra,2024-12-13T15:31:32.343162,4,22,3,1734103742,29,4,1
